FishTaxa	Latitude83	Longitude83	SITEYR
ROSYFACE SHINER	39.071944	-76.756389	AA-N-245-026-95
WHITE SUCKER	39.071944	-76.756389	AA-N-245-026-95
YELLOW BULLHEAD	39.071944	-76.756389	AA-N-245-026-95
SEA LAMPREY	39.071944	-76.756389	AA-N-245-026-95
BLUEGILL	39.071944	-76.756389	AA-N-245-026-95
AMERICAN EEL	39.071944	-76.756389	AA-N-245-026-95
NO FISH OBSERVED	39.03056377	-76.59917338	AA-N-258-121-97
NO FISH OBSERVED	39.14769804	-76.6115679	AA-N-262-101-96
GREEN SUNFISH	39.10550921	-76.64039938	AA-N-281-310-97
EASTERN MUDMINNOW	39.10550921	-76.64039938	AA-N-281-310-97
PUMPKINSEED	39.10550921	-76.64039938	AA-N-281-310-97
YELLOW PERCH	39.10550921	-76.64039938	AA-N-281-310-97
TESSELLATED DARTER	39.10550921	-76.64039938	AA-N-281-310-97
WHITE SUCKER	39.10550921	-76.64039938	AA-N-281-310-97
SATINFIN SHINER	39.10550921	-76.64039938	AA-N-281-310-97
BLACKNOSE DACE	39.10550921	-76.64039938	AA-N-281-310-97
BROWN BULLHEAD	39.10550921	-76.64039938	AA-N-281-310-97
BLUEGILL	39.10550921	-76.64039938	AA-N-281-310-97
AMERICAN EEL	39.10550921	-76.64039938	AA-N-281-310-97
